gid,provincia,nombre,sector,ndomicilio,localidad,departamento,ubicacion,x,y
34996,Santa Fe,C.E.R. NRO 520BRIGADIER ESTANISLAO LOPEZ,Estatal,ZONA RURAL   ARROYO CEIBAL,ARROYO CEIBAL,GENERAL OBLIGADO,APROXIMADA,"-59,4715421","-28,7448425"
34999,Santa Fe,ESCUELA NRO 6064 PEDRO ZANNI,Estatal,PELLEGRINI S/N SANTA TERESITA,LA GALLARETA,VERA,APROXIMADA,"-60,4765666","-29,6466326"
35009,Santa Fe,ESCUELA NRO 6036 BERNARDINO RIVADAVIA,Estatal,JUAN B. JUSTO S/N  NASURDI JUAN JUSTO Y JUAREZ CELMAN,ARROYO SECO,ROSARIO,APROXIMADA,"-60,5560691","-33,1552359"
35011,Santa Fe,ESCUELA PART. INC. NRO 1136 SAN JOSE,Privado,INDEPENDENCIA 1370 CAMPO MAYO,TOSTADO,9 DE JULIO,APROXIMADA,"-61,1578887","-29,1712256"
35014,Santa Fe,ESCUELA NRO 418 GENERAL JOSE DE SAN MARTIN,Estatal,RIO NEGRO 2481 SAN GENARO,TOSTADO,9 DE JULIO,APROXIMADA,"-61,1578887","-29,1712256"
35015,Santa Fe,ESCUELA NRO 684 GENERAL MANUEL BELGRANO,Estatal,25 DE MAYO 2424 GUEMES,TOSTADO,9 DE JULIO,APROXIMADA,"-61,1578887","-29,1712256"
35023,Santa Fe,ESCUELA NRO 252 DOMINGO FAUSTINO SARMIENTO,Estatal,SARMIENTO 581 CENTRO,VILLA ELOISA,IRIONDO,APROXIMADA,"-61,5597342","-32,8402004"
35027,Santa Fe,ESCUELA PARTICULAR INCORPORADA Nº 1287 SAN LUIS GONZAGA,Privado,FRAY DE ORO S/N SAN AGUSTIN I FRAY DE ORO S/N,SANTA FE,LA CAPITAL,APROXIMADA,"-60,6009308","-31,6611906"
35029,Santa Fe,ESCUELA NRO 1174 BRIGADIER ESTANISLAO LOPEZ,Estatal,CALLE 307 1310 DON PEDRO,AVELLANEDA,GENERAL OBLIGADO,APROXIMADA,"-59,6193779","-29,07210975"
35030,Santa Fe,ESCUELA PART. INC. NRO 1098 NUESTRA SEÑORA DE LA MERCED,Privado,SAN MARTIN 610 CENTRO,AVELLANEDA,GENERAL OBLIGADO,APROXIMADA,"-59,6193779","-29,07210975"
35038,Santa Fe,ESCUELA NRO 1205 COMANDANTE LUIS PIEDRABUENA,Estatal,CALLE 21 170 ITATI,AVELLANEDA,GENERAL OBLIGADO,APROXIMADA,"-59,6193779","-29,07210975"
35044,Santa Fe,ESCUELA NRO 1296 MAXIMO VICENTIN,Estatal,CALLE 304 121 PADRE CELSO,AVELLANEDA,GENERAL OBLIGADO,APROXIMADA,"-59,6193779","-29,07210975"
35045,Santa Fe,ESCUELA NRO 928 BERNARDINO RIVADAVIA,Estatal,PROLONGACION ESTE CALLE 11  FABRICA AVENIDA SAN MARTIN,AVELLANEDA,GENERAL OBLIGADO,APROXIMADA,"-59,6193779","-29,07210975"
35047,Santa Fe,ESCUELA NRO 493 JUAN BAUTISTA ALBERDI,Estatal,BELGRANO 496 ESTE,CAÑADA DE GOMEZ,IRIONDO,APROXIMADA,"-61,4431423","-32,7696698"
35048,Santa Fe,ESCUELA NRO 491 DOMINGO FAUSTINO SARMIENTO,Estatal,QUINTANA 75 CENTRO,CAÑADA DE GOMEZ,IRIONDO,APROXIMADA,"-61,4431423","-32,7696698"
35049,Santa Fe,ESCUELA NRO 6410 GENERAL MANUEL BELGRANO,Estatal,AVENIDA SANTA FE 486,CAÑADA DE GOMEZ,IRIONDO,APROXIMADA,"-61,4431423","-32,7696698"
35068,Santa Fe,ESCUELA NRO 6401 JORGE NEWBERY,Estatal,NICOLAS SCHNEIDER 1389 SUR - CICLAR,ESPERANZA,LAS COLONIAS,APROXIMADA,"-60,9834491","-31,4802917"
35081,Santa Fe,ESCUELA NRO 1305 MARIA GALIBERT DE JOFFRE,Estatal,PASAJE 14/16 LOS AMIGOS 2640 GENERAL OBLIGADO,RECONQUISTA,GENERAL OBLIGADO,APROXIMADA,"-59,5823989","-29,2340482"
35087,Santa Fe,ESCUELA NRO 431 MARTIN MIGUEL DE GUEMES,Estatal,ITALIA 2191 CENTRO,SAN JUSTO,SAN JUSTO,APROXIMADA,"-60,6048967","-30,8366255"
35089,Santa Fe,ESCUELA NRO 6415 FRANCISCO NARCISO DE LAPRIDA,Estatal,AVENIDA IRIONDO 3013 CENTRO SUR,SAN JUSTO,SAN JUSTO,APROXIMADA,"-60,6048967","-30,8366255"
35092,Santa Fe,ESCUELA NRO 315 AARON CASTELLANOS,Estatal,SAN MARTIN 873 SUR,ESPERANZA,LAS COLONIAS,APROXIMADA,"-60,9834491","-31,4802917"
35105,Santa Fe,ESCUELA PART.INCORP. NRO 1211 SAN JOSE OBRERO,Privado,SAAVEDRA S/N SAN JOSE OBRERO SAAVEDRA Y TUCUMAN,FORTIN OLMOS,VERA,APROXIMADA,"-60,4149427","-29,055432"
35110,Santa Fe,ESCUELA NRO 243 JUAN BAUTISTA ALBERDI,Estatal,PUEYRREDON 1470 CORDOBA,TOTORAS,IRIONDO,APROXIMADA,"-61,22622935","-32,67664964"
35113,Santa Fe,ESCUELA NRO 533 VICTORIANO MONTES,Estatal,DEMETRIO GOMEZ S/N  ALTO VERDE MANZANA 7 - ALTO VERDE,SANTA FE,LA CAPITAL,APROXIMADA,"-60,6009308","-31,6611906"
35114,Santa Fe,ESCUELA NRO 1081 ALMAFUERTE,Estatal,DEMETRIO GOMEZ-MANZANA 9 S/N ALTO VERDE PARAJE LA BOCA,LA BOCA,LA CAPITAL,APROXIMADA,"-60,6009308","-31,6611906"
35115,Santa Fe,ESCUELA NRO 95 SIMON DE IRIONDO,Estatal,ANIBAL PEDRO BUSTAMANTE   MANZANA 2 - ALTO VERDE,SANTA FE,LA CAPITAL,APROXIMADA,"-60,6009308","-31,6611906"
35118,Santa Fe,ESCUELA NRO 1065 MANUEL BELGRANO,Estatal,DOCTOR ANGEL GALLARDO S/N,MONTE VERA,LA CAPITAL,APROXIMADA,"-60,6736943","-31,4725492"
35119,Santa Fe,ESCUELA PARTICULAR INC.NRO 1385 LA CECILIA,Privado,RUTA PROVINCIAL 5 - KM 3 1/2,MONTE VERA,LA CAPITAL,APROXIMADA,"-60,6736943","-31,4725492"
