gid,provincia,nombre,sector,ndomicilio,localidad,departamento,ubicacion,x,y
61520,La Pampa,Instituto Juan Bautista Alberdi - P15,Privado,Sarmiento 250,GUATRACHE,GUATRACHE,PRECISA,"-63,53457267","-37,66721398"
61530,La Pampa,Colegio Secundario Zona Norte,Estatal,Junco  1284 SAN CAYETANO,SANTA ROSA,CAPITAL,PRECISA,"-64,29880132","-36,59575241"
61532,La Pampa,Colegio Secundario Leuvucó (Ex. UE Nº 31),Estatal,Calle 26 Esq. 19 984  Ex. Unidad Educativa Nº 31,VICTORICA,LOVENTUE,PRECISA,"-65,4336856","-36,2211519"
61534,Mendoza,SAN LUIS GONZAGA,Privado,9 DE JULIO 777  TERCERA SECCION,MENDOZA,CAPITAL,APROXIMADA,"-68,84150127","-32,8940802"
61544,Mendoza,IV BRIGADA AEREA,Estatal,AVDA.FUERZA AEREA KM 7 1/2-INDEPENDENCIA Y AVDA.FUERZA AEREA,EL PLUMERILLO (LAS HERAS),LAS HERAS,APROXIMADA,"-68,79954571","-32,8422291"
61555,Mendoza,INSTITUTO MAIPU DE EDUCACION INTEGRAL,Privado,GODOY CRUZ 119,MAIPU,MAIPU,APROXIMADA,"-68,78435895","-32,98571964"
61564,Mendoza,NORMAL SUPERIOR TOMAS GODOY CRUZ,Estatal,RIVADAVIA 350,MENDOZA,CAPITAL,APROXIMADA,"-68,84415425","-32,89107209"
61566,Chubut,LICEO MILITAR GENERAL ROCA,Estatal,Avda. Hipólito Yrigoyen 2351 General Roca,COMODORO RIVADAVIA,ESCALANTE,APROXIMADA,"-67,51","-45,87"
61583,Chubut,INSTITUTO SANTO DOMINGO SAVIO,Privado,Alem 1112 Pietrobelli,COMODORO RIVADAVIA,ESCALANTE,APROXIMADA,"-67,49","-45,85"
61584,Chubut,INSTITUTO MARTÍN RIVADAVIA,Privado,Ameghino 1492 Centro Comparte edificio con Escuela Nivel Inicial Nº 1408 y Escuela Nivel Primario Nº 1018,COMODORO RIVADAVIA,ESCALANTE,APROXIMADA,"-67,49","-45,86"
61586,Chubut,ESCUELA DE LA COSTA,Privado,Colón 352,PUERTO MADRYN,BIEDMA,APROXIMADA,"-65,03","-42,76"
61589,Chubut,JULIO CORTAZAR,Estatal,Rawson 351 Centro,TRELEW,RAWSON,APROXIMADA,"-65,31","-43,25"
61591,Chubut,ERNESTO SÁBATO,Estatal,Berwin 1785 8 de Diciembre,TRELEW,RAWSON,APROXIMADA,"-65,28","-43,24"
61616,Chubut,GRAL. ING. ALONSO BALDRICH,Estatal,GRECIA Y CROACIA  CÍVICO,COMODORO RIVADAVIA,ESCALANTE,APROXIMADA,"-67,48","-45,86"
61617,Chubut,GRAN MALVINA,Estatal,Alvear 1100 Pietrobelli,COMODORO RIVADAVIA,ESCALANTE,APROXIMADA,"-67,49","-45,85"
61619,Chubut,FEDERICO BRANDSEN,Estatal,San Francisco de Asís 834 Pueyrredón Comparte edificio con Escuela de Nivel Primaria Nº 198 y Colegio Secundario Nº 769,COMODORO RIVADAVIA,ESCALANTE,APROXIMADA,"-67,52","-45,87"
61625,Chubut,COLEGIO BILINGÜE ABRAHAM LINCOLN,Privado,Escalada 1567 La Loma Compare edificio con Escuela Nº 1008,COMODORO RIVADAVIA,ESCALANTE,APROXIMADA,"-67,49","-45,87"
61630,Chubut,COLEGIO PADRE LUCIO SABATTI,Estatal,25 de Mayo 4681 INTA,TRELEW,RAWSON,APROXIMADA,"-65,35","-43,27"
61631,Chubut,ESCUELA DE APRENDIZAJE LABORAL (E.M.A.L.) Nº 2702,Estatal,Güemes 710  Comparte edificio con Colegio Secundario Nº 729,RAWSON,RAWSON,APROXIMADA,"-65,08","-43,29"
61638,Chubut,INSTITUTO AUSTRAL DE ENSEÑANZA,Privado,Avda. Estados Unidos 75 José Fuchs,COMODORO RIVADAVIA,ESCALANTE,APROXIMADA,"-67,5","-45,87"
61653,Chubut,PUERTO ARGENTINO,Estatal,Avda. Lisandro de la Torre 3440 Juan XXIII Comparte edificio con el Colegio Nº 764,COMODORO RIVADAVIA,ESCALANTE,APROXIMADA,"-67,54","-45,88"
61654,Chubut,DR. RENÉ GERÓNIMO FAVALORO,Estatal,Colombia 152 Centro,TRELEW,RAWSON,APROXIMADA,"-65,31","-43,24"
61656,Chubut,GUARDACOSTAS RÍO IGUAZÚ,Estatal,9 de Julio 670 Centro,COMODORO RIVADAVIA,ESCALANTE,APROXIMADA,"-67,47","-45,86"
61659,Tucumán,INSTITUTO SANTA BARBARA,Privado,NASIF ESTEFANO 175 CENTRO,CONCEPCION,CHICLIGASTA,APROXIMADA,"-65,5938215","-27,34661579"
61660,Tucumán,INST. SAN LUIS GONZAGA,Privado,9 DE JULIO 264 CENTRO,CONCEPCION,CHICLIGASTA,APROXIMADA,"-65,592532","-27,34803663"
61662,Tucumán,INST. SAN JOSE,Privado,MANUEL GARCIA FERNANDEZ 405 CENTRO ESQUINA BELGRANO A LA PAR DE LA PARROQUIA,BELLA VISTA,LEALES,APROXIMADA,"-65,30559127","-27,0339188"
61665,Tucumán,INST. CRISTO REY,Privado,IGNACIO GORRITI 546 CENTRO,AGUILARES,RIO CHICO,APROXIMADA,"-65,61379147","-27,43361003"
61666,Tucumán,COL. NICOLAS AVELLANEDA,Estatal,AV. MITRE 770 Centro A 50 mts. de plaza principal,AGUILARES,RIO CHICO,APROXIMADA,"-65,61603777","-27,43258277"
61667,Santa Cruz,COLEGIO PROV. DE EDUCACION SECUNDARIA Nº 31 HECTOR SABINO,Estatal,JOSE MANUEL ESTRADA S/N,JARAMILLO,DESEADO,GPS,"-67,1439402","-47,18240007"
61668,Santa Cruz,COLEGIO PROV. DE EDUCACION SECUNDARIA Nº 30,Estatal,AVENIDA SAN MARTIN S/N,TRES LAGOS,LAGO ARGENTINO,PRECISA,"-71,44872381","-49,59846659"
